0.664,1.088,0.513,7.038,0.537,0.331,8.291,3.91,1.783,349.67,620.12,122.51,177.82,-0.56,125.13
1.693,1.191,0.425,6.904,0.505,0.341,7.576,3.669,2.156,342.8,619.61,123.02,177.82,-0.56,125.13
2.667,1.291,0.308,6.48,0.478,0.338,6.95,3.467,2.508,334.83,618.07,123.61,177.82,-0.56,125.13
3.535,1.362,0.207,5.808,0.462,0.352,6.378,3.34,2.913,328.35,615.99,124.1,177.82,-0.56,125.13
4.188,1.47,0.136,4.906,0.338,0.295,5.936,3.135,3.313,322.41,613.4,124.59,177.82,-0.56,125.13
4.63,1.554,0.061,3.933,0.259,0.277,5.477,3.06,3.76,316.56,610.07,125.13,177.82,-0.56,125.13
4.859,1.594,0.032,2.98,0.194,0.289,5.04,2.947,4.194,311.27,606.22,125.62,177.82,-0.56,125.13
4.967,1.643,0.042,2.093,0.191,0.331,4.647,2.918,4.64,306.38,601.87,126.12,177.82,-0.56,125.13
4.912,1.693,0.106,1.312,0.17,0.419,4.329,2.85,5.08,302,597.01,126.61,177.82,-0.56,125.13
4.703,1.737,0.147,0.671,0.154,0.55,4.008,2.777,5.423,298.2,591.79,127.12,177.81,-0.56,125.13
4.463,1.782,0.176,0.105,0.131,0.739,3.681,2.71,5.716,294.95,586.21,127.63,177.81,-0.56,125.13
4.111,1.784,0.193,0.32,0.119,0.964,3.373,2.648,5.946,292.33,580.21,128.12,177.82,-0.56,125.13
3.759,1.832,0.208,0.661,0.11,1.224,3.147,2.581,5.956,290.43,574.3,128.61,177.82,-0.56,125.13
3.459,1.879,0.232,0.924,0.128,1.575,2.95,2.492,5.829,289.12,568.09,129.13,177.81,-0.56,125.13
3.176,1.981,0.272,1.055,0.201,1.921,2.708,2.352,5.454,288.48,561.89,129.62,177.82,-0.56,125.14
2.888,2.042,0.233,1.189,0.228,2.294,2.495,2.224,4.898,288.47,555.58,130.13,177.81,-0.56,125.14
2.656,2.167,0.184,1.236,0.341,2.628,2.344,1.981,4.162,289.14,549.45,130.62,177.81,-0.56,125.14
2.422,2.225,0.079,1.291,0.383,2.889,2.119,1.78,3.256,290.42,543.46,131.13,177.81,-0.56,125.13
2.236,2.369,0.036,1.314,0.436,3.057,1.949,1.599,2.275,292.15,537.95,131.56,177.83,-0.56,125.13
1.97,2.403,0.219,1.327,0.439,3.121,1.804,1.376,1.184,294.19,533.39,132,177.81,-0.57,125.12
1.806,2.495,0.447,1.351,0.448,3.071,1.692,1.112,0.157,297.13,527.9,132.47,177.81,-0.56,125.12
1.683,2.592,0.651,1.36,0.431,2.893,1.56,0.926,0.804,300.59,522.77,132.97,177.82,-0.56,125.12
1.517,2.7,0.903,1.334,0.374,2.609,1.494,0.615,1.71,304.58,518.11,133.51,177.82,-0.56,125.12
1.446,2.845,1.091,1.332,0.347,2.274,1.449,0.37,2.452,308.99,513.89,134.01,177.82,-0.56,125.12
1.315,2.948,1.283,1.317,0.328,1.876,1.439,0.179,3.025,313.83,510.14,134.49,177.82,-0.56,125.13
1.137,3.06,1.505,1.281,0.327,1.44,1.442,0.22,3.406,319.05,507.07,135.05,177.81,-0.57,125.12
1.055,3.209,1.631,1.282,0.332,1.038,1.458,0.456,3.65,324.5,504.47,135.56,177.82,-0.56,125.13
0.897,3.302,1.757,1.259,0.383,0.644,1.509,0.642,3.729,329.78,502.54,136,177.83,-0.56,125.12
0.863,3.53,1.755,1.249,0.401,0.28,1.574,0.887,3.667,335.59,501.17,136.49,177.82,-0.56,125.12
0.833,3.638,1.772,1.26,0.529,0.041,1.639,1.14,3.547,341.5,500.32,137.02,177.83,-0.56,125.12
