2.46,2.06,3.897,0.291,1.775,1.508,8.25,6.476,1.154,273.46,556.36,100.08,177.82,-0.56,125.15
2.982,1.911,1.912,2.166,0.794,6.763,1.865,3.054,14.361,274.04,548.94,100.54,177.82,-0.56,125.13
2.441,1.923,1.741,2.257,0.994,8.62,1.557,2.621,11.546,275.44,541.5,101.04,177.82,-0.56,125.13
2.058,1.99,1.399,2.281,1.119,10.015,1.209,2.099,7.962,277.55,534.32,101.53,177.82,-0.56,125.13
1.743,2.042,0.894,2.273,1.179,10.768,0.864,1.551,4.145,279.9,528.5,101.91,177.83,-0.56,125.13
1.415,2.038,0.152,2.242,1.125,10.828,0.513,0.987,0.228,283.52,521.41,102.42,177.82,-0.56,125.13
1.251,2.121,0.661,2.159,1.011,10.283,0.252,0.435,3.382,287.78,514.97,102.95,177.81,-0.57,125.13
1.132,2.245,1.508,2.096,0.816,9.344,0.181,0.189,6.529,292.51,509.07,103.42,177.82,-0.56,125.13
1.02,2.388,2.377,1.971,0.592,8.14,0.285,0.616,9.198,297.97,503.67,103.93,177.82,-0.56,125.13
0.925,2.601,3.173,1.864,0.377,6.741,0.396,1.112,11.121,303.93,498.85,104.44,177.82,-0.56,125.13
0.807,2.885,3.815,1.734,0.091,5.112,0.446,1.514,12.324,310.4,494.75,104.97,177.81,-0.56,125.13
0.708,3.247,4.295,1.613,0.275,3.429,0.405,1.963,12.736,317.19,491.3,105.46,177.82,-0.56,125.13
0.616,3.688,4.497,1.514,0.573,1.798,0.368,2.346,12.482,324.3,488.58,105.95,177.82,-0.56,125.12
0.476,4.226,4.504,1.425,0.855,0.313,0.26,2.807,11.695,331.61,486.67,106.46,177.82,-0.56,125.13
0.342,4.836,4.339,1.369,1.027,0.857,0.164,3.352,10.606,339.04,485.5,106.95,177.83,-0.56,125.12
0.209,5.493,4.104,1.386,1.012,1.7,0.224,4.08,9.29,346.35,485.16,107.46,177.83,-0.56,125.13
0.068,6.094,3.808,1.421,0.783,2.236,0.388,4.949,7.958,353.82,485.58,107.94,177.83,-0.56,125.12
0.044,6.68,3.444,1.509,0.209,2.516,0.611,5.904,6.689,362.55,487.08,108.56,177.82,-0.56,125.13
0.147,7.196,3.198,1.623,0.747,2.611,0.829,6.885,5.499,370.01,489.29,109.06,177.82,-0.56,125.13
0.35,7.361,2.981,1.739,2.034,2.613,1.073,7.727,4.527,376.97,492.22,109.59,177.82,-0.56,125.13
0.49,7.319,2.749,1.868,3.59,2.552,1.368,8.281,3.683,383.55,495.86,110.11,177.82,-0.56,125.13
0.648,6.968,2.533,2.057,5.227,2.477,1.682,8.204,2.977,389.58,500.09,110.62,177.82,-0.56,125.13
0.846,6.292,2.297,2.236,6.691,2.38,2.127,7.36,2.58,395.06,504.86,111.09,177.83,-0.56,125.13
0.979,5.528,2.13,2.413,7.968,2.277,2.563,5.922,2.134,400.07,510.25,111.63,177.82,-0.56,125.13
1.158,4.666,1.969,2.613,8.824,2.188,2.988,3.8,1.858,404.48,516.13,112.14,177.82,-0.56,125.13
1.303,3.756,1.809,2.767,9.271,2.049,3.499,1.221,1.666,408.15,522.35,112.61,177.83,-0.56,125.13
1.463,2.899,1.648,2.951,9.308,1.921,3.994,1.387,1.233,411.15,528.85,113.12,177.82,-0.56,125.12
1.733,2.077,1.558,3.113,8.88,1.785,4.586,4.447,1.16,413.41,535.54,113.63,177.83,-0.56,125.13
1.938,1.433,1.474,3.27,8.014,1.641,5.271,7.258,1.115,415.03,542.56,114.13,177.82,-0.56,125.13
2.273,0.862,1.398,3.43,6.806,1.484,5.961,9.684,1.138,415.82,549.47,114.6,177.83,-0.56,125.12
2.573,0.463,1.342,3.534,5.412,1.342,6.601,11.499,1.127,415.96,556.63,115.14,177.82,-0.56,125.12
3.075,0.068,1.304,3.629,4.077,1.198,7.607,12.954,1.406,415.29,563.56,115.6,177.82,-0.56,125.12
3.455,0.19,1.283,3.621,2.864,1.07,8.448,13.191,1.302,413.97,570.19,116.09,177.82,-0.56,125.13
3.867,0.234,1.26,3.479,1.913,0.954,9.281,12.809,1.173,412.38,575.48,116.46,177.82,-0.56,125.13
4.44,0.357,1.301,3.154,1.23,0.847,10.022,12.088,1.021,409.78,582.01,116.95,177.82,-0.56,125.14
4.767,0.284,1.315,2.607,0.794,0.725,10.73,11.043,0.832,406.51,588.19,117.46,177.82,-0.56,125.14
5.04,0.214,1.278,1.807,0.52,0.603,11.35,9.934,0.67,402.66,593.95,118.02,177.83,-0.56,125.13
5.303,0.139,1.27,0.774,0.371,0.488,11.825,8.822,0.464,398.22,599.3,118.49,177.82,-0.56,125.13
5.401,0.089,1.271,0.441,0.34,0.362,12.043,7.864,0.245,393.25,604.13,119,177.82,-0.56,125.13
5.311,0.022,1.223,1.825,0.337,0.207,12.019,6.969,0.09,388,608.25,119.48,177.82,-0.56,125.14
4.981,0.089,1.18,3.204,0.387,0.073,11.726,6.242,0.289,382.16,611.84,119.95,177.83,-0.55,125.13
4.452,0.189,1.128,4.421,0.442,0.062,11.25,5.62,0.594,376.04,614.89,120.46,177.82,-0.56,125.13
3.704,0.261,1.049,5.453,0.507,0.157,10.569,5.072,0.888,369.68,617.25,120.97,177.81,-0.56,125.14
2.715,0.442,0.97,6.24,0.562,0.244,9.843,4.643,1.201,363.08,618.91,121.51,177.82,-0.56,125.13
1.712,0.541,0.871,6.734,0.589,0.304,9.023,4.302,1.566,356.44,619.9,121.99,177.81,-0.56,125.13
0.653,0.67,0.77,6.909,0.605,0.324,8.266,4.012,1.932,349.67,620.11,122.51,177.82,-0.56,125.14
0.503,0.883,0.625,6.779,0.608,0.361,7.468,3.76,2.292,343.01,619.64,123.02,177.82,-0.56,125.13
1.424,0.999,0.503,6.358,0.556,0.375,6.821,3.547,2.683,334.95,618.12,123.6,177.82,-0.56,125.13
2.259,1.084,0.431,5.693,0.509,0.354,6.192,3.402,3.099,328.35,616,124.1,177.82,-0.56,125.13
2.914,1.178,0.361,4.842,0.463,0.328,5.646,3.253,3.532,322.42,613.4,124.59,177.82,-0.56,125.13
3.455,1.274,0.27,3.888,0.422,0.309,5.136,3.167,3.981,316.56,610.07,125.12,177.82,-0.56,125.13
3.853,1.423,0.198,2.961,0.355,0.323,4.698,3.095,4.418,311.26,606.23,125.62,177.81,-0.56,125.13
3.912,1.436,0.145,2.07,0.316,0.363,4.269,3.01,4.858,306.38,601.87,126.12,177.82,-0.56,125.13
3.769,1.429,0.112,1.256,0.257,0.427,3.972,2.952,5.294,302,597.01,126.61,177.82,-0.56,125.13
3.542,1.401,0.081,0.613,0.215,0.541,3.614,2.89,5.656,298.2,591.8,127.12,177.81,-0.56,125.13
3.214,1.434,0.048,0.088,0.218,0.721,3.281,2.805,5.959,294.95,586.21,127.63,177.81,-0.56,125.13
3.09,1.51,0.049,0.309,0.208,0.959,2.989,2.778,6.159,292.36,580.29,128.11,177.82,-0.56,125.13
2.754,1.524,0.079,0.618,0.22,1.213,2.72,2.739,6.19,290.4,574.2,128.62,177.82,-0.56,125.13
2.436,1.572,0.091,0.849,0.242,1.543,2.471,2.637,6.108,289.11,568.09,129.13,177.82,-0.56,125.13
2.058,1.515,0.05,1.03,0.271,1.882,2.264,2.531,5.792,288.47,561.77,129.63,177.81,-0.56,125.14
1.739,1.515,0.045,1.155,0.288,2.239,2.061,2.379,5.248,288.47,555.59,130.13,177.81,-0.56,125.14
1.475,1.529,0.079,1.257,0.31,2.555,1.864,2.229,4.518,289.14,549.45,130.62,177.81,-0.56,125.14
1.241,1.53,0.17,1.352,0.346,2.824,1.694,2.036,3.678,290.42,543.46,131.12,177.81,-0.56,125.13
1.017,1.567,0.349,1.411,0.368,2.984,1.527,1.823,2.636,291.81,539.09,131.48,177.83,-0.56,125.12
0.848,1.589,0.53,1.422,0.362,3.071,1.406,1.626,1.593,294.18,533.39,132,177.81,-0.57,125.12
0.686,1.655,0.754,1.46,0.334,3.031,1.299,1.384,0.535,297.12,527.91,132.47,177.81,-0.57,125.12
0.561,1.69,0.995,1.445,0.291,2.866,1.205,1.154,0.481,300.59,522.76,132.97,177.83,-0.56,125.13
0.446,1.777,1.231,1.466,0.273,2.637,1.119,0.929,1.371,304.58,518.11,133.51,177.82,-0.56,125.12
0.364,1.889,1.462,1.454,0.217,2.305,1.075,0.694,2.13,309,513.89,134.01,177.82,-0.56,125.13
0.297,2.007,1.673,1.434,0.175,1.912,1.042,0.444,2.738,313.66,510.26,134.47,177.83,-0.56,125.12
0.22,2.135,1.849,1.418,0.152,1.496,1.051,0.264,3.172,319.06,507.07,135.05,177.81,-0.56,125.13
0.136,2.252,1.976,1.432,0.117,1.062,1.072,0.216,3.428,324.67,504.39,135.57,177.82,-0.56,125.12
0.074,2.389,2.065,1.431,0.129,0.656,1.126,0.339,3.549,329.79,502.55,136.01,177.83,-0.56,125.12
0.039,2.502,2.134,1.422,0.168,0.274,1.2,0.544,3.559,335.59,501.17,136.49,177.82,-0.56,125.12
0.135,2.587,2.167,1.423,0.257,0.055,1.295,0.776,3.451,341.5,500.33,137.03,177.83,-0.56,125.12
0.204,2.675,2.135,1.449,0.396,0.313,1.377,0.993,3.284,347.42,500.15,137.48,177.83,-0.56,125.13
0.29,2.761,2.109,1.472,0.58,0.556,1.521,1.195,3.021,353.36,500.67,138.05,177.81,-0.57,125.13
0.38,2.77,2.047,1.514,0.805,0.725,1.629,1.352,2.781,360.65,502.06,138.66,177.82,-0.56,125.13
0.473,2.746,1.973,1.545,1.095,0.865,1.786,1.45,2.503,366.5,503.97,139.19,177.82,-0.56,125.13
0.556,2.665,1.869,1.58,1.403,0.944,1.973,1.439,2.247,371.81,506.39,139.7,177.83,-0.56,125.13
0.619,2.551,1.792,1.63,1.744,0.991,2.163,1.337,1.977,376.9,509.39,140.2,177.83,-0.56,125.13
0.724,2.396,1.722,1.672,2.035,1.038,2.35,1.111,1.759,381.64,512.93,140.72,177.82,-0.56,125.13
0.814,2.197,1.624,1.71,2.315,1.05,2.558,0.734,1.566,385.84,516.83,141.23,177.83,-0.56,125.13
0.922,1.946,1.563,1.761,2.544,1.022,2.823,0.281,1.37,389.57,521.05,141.74,177.82,-0.56,125.13
1.038,1.701,1.5,1.791,2.677,1.009,3.065,0.428,1.22,392.82,525.7,142.22,177.83,-0.56,125.13
1.136,1.477,1.426,1.814,2.738,0.949,3.314,1.081,1.069,395.58,530.68,142.74,177.82,-0.56,125.13
1.234,1.275,1.344,1.825,2.723,0.941,3.604,1.793,0.952,397.8,535.85,143.24,177.82,-0.56,125.12
1.329,1.073,1.293,1.841,2.627,0.894,3.855,2.525,0.845,399.4,541.11,143.73,177.82,-0.56,125.12
1.419,0.905,1.224,1.82,2.432,0.856,4.11,3.196,0.718,400.51,546.7,144.25,177.82,-0.56,125.13
1.512,0.78,1.183,1.753,2.229,0.791,4.339,3.883,0.593,400.96,552.22,144.72,177.83,-0.56,125.11
1.711,0.61,1.154,1.697,1.97,0.729,4.591,4.36,0.518,400.88,557.56,145.24,177.83,-0.56,125.12
1.783,0.496,1.1,1.581,1.74,0.695,4.874,4.68,0.439,400.21,562.88,145.71,177.83,-0.56,125.13
1.909,0.426,1.089,1.449,1.484,0.62,5.024,4.936,0.31,399.05,567.96,146.2,177.82,-0.56,125.13
1.992,0.371,1.057,1.263,1.279,0.554,5.233,5.043,0.211,397.75,571.9,146.54,177.81,-0.56,125.14
2.071,0.352,1.05,1.042,1.057,0.491,5.354,5.025,0.096,395.62,576.86,147.03,177.82,-0.56,125.13
2.079,0.366,1.01,0.787,0.903,0.45,5.414,4.962,0.078,392.86,581.76,147.57,177.83,-0.55,125.14
2.077,0.383,0.984,0.511,0.796,0.378,5.426,4.838,0.201,390.16,585.69,148.03,177.82,-0.56,125.13
2.033,0.414,0.977,0.18,0.669,0.316,5.451,4.675,0.319,386.65,589.72,148.52,177.83,-0.55,125.13
1.959,0.427,0.942,0.139,0.607,0.258,5.362,4.473,0.463,382.78,593.39,149.02,177.82,-0.56,125.13
1.818,0.469,0.908,0.464,0.545,0.216,5.23,4.275,0.611,378.5,596.6,149.52,177.83,-0.56,125.12
1.641,0.486,0.871,0.75,0.506,0.15,5.044,4.087,0.785,373.96,599.25,150.01,177.83,-0.55,125.14
1.448,0.535,0.833,1.018,0.458,0.096,4.793,3.847,0.947,369.2,601.53,150.5,177.82,-0.57,125.12
1.165,0.576,0.803,1.23,0.437,0.049,4.551,3.667,1.08,364.11,603.29,151.03,177.81,-0.56,125.14
0.88,0.678,0.742,1.407,0.421,0.032,4.236,3.52,1.273,359.01,604.43,151.53,177.82,-0.57,125.12
0.551,0.77,0.67,1.494,0.402,0.036,4.016,3.322,1.409,354.09,605.03,152,177.81,-0.56,125.14
0.239,0.813,0.651,1.558,0.416,0.07,3.726,3.185,1.596,348.93,605.11,152.53,177.82,-0.57,125.12
0.107,0.891,0.581,1.545,0.367,0.109,3.491,3.057,1.761,342.68,604.49,153.14,177.81,-0.56,125.13
0.363,0.942,0.536,1.463,0.374,0.159,3.277,2.929,1.944,337.34,603.21,153.67,177.83,-0.56,125.13
0.618,1.01,0.487,1.33,0.354,0.16,3.119,2.799,2.069,332.43,601.54,154.19,177.81,-0.56,125.13
0.814,1.053,0.436,1.172,0.351,0.217,2.92,2.736,2.193,327.75,599.31,154.68,177.81,-0.56,125.13
0.996,1.108,0.376,0.982,0.31,0.263,2.758,2.611,2.351,323.47,596.68,155.17,177.82,-0.56,125.13
1.053,1.103,0.346,0.753,0.303,0.282,2.616,2.489,2.428,319.51,593.61,155.68,177.82,-0.56,125.13
1.172,1.147,0.337,0.573,0.296,0.361,2.476,2.397,2.523,315.91,590.2,156.18,177.82,-0.56,125.13
1.211,1.169,0.286,0.376,0.307,0.418,2.385,2.306,2.557,312.71,586.42,156.69,177.82,-0.56,125.14
1.247,1.202,0.265,0.212,0.274,0.476,2.273,2.226,2.579,309.88,582.3,157.18,177.83,-0.56,125.12
1.215,1.215,0.257,0.05,0.257,0.537,2.189,2.116,2.535,307.65,578.09,157.71,177.82,-0.56,125.13
1.144,1.229,0.269,0.114,0.282,0.615,2.096,2.021,2.498,305.84,573.6,158.18,177.82,-0.56,125.13
1.053,1.242,0.239,0.249,0.275,0.684,1.991,1.922,2.364,304.58,569.08,158.71,177.81,-0.57,125.13
